timestamp,url_length,path_length,query_length,param_count,header_count,payload_length,url_entropy,payload_entropy,alpha_ratio,digit_ratio,special_char_ratio,suspicious_chars_count,sql_keyword_count,xss_pattern_count,command_injection_count,path_traversal_count,is_malicious
1753548281.6451294,91,23,20,0,7,86,0,0,0,0,4.21340999311522,3.633232859894992,0.49,0.4,0.18,0,0
1753548281.6451294,24,25,26,2,9,41,0,0,0,0,3.397919400814707,3.614951475368578,0.56,0.11,0.11,0,0
1753548281.6451294,34,39,7,1,5,349,2,1,3,1,5.453095320438872,3.3596956956424386,0.58,0.34,0.2,5,1
1753548281.6451294,50,30,34,4,5,62,0,0,0,0,4.538186971005695,3.3496022112042323,0.4,0.12,0.07,0,0
1753548281.6451294,76,19,50,0,6,87,0,0,0,0,3.3612049933348356,4.593073124803688,0.45,0.27,0.11,0,0
1753548281.6451294,71,31,40,1,3,303,5,1,0,1,4.53609987478206,3.3720728515073684,0.51,0.29,0.19,4,1
1753548281.653198,87,10,8,4,4,31,0,0,0,0,4.45503803947795,4.57876003684413,0.56,0.38,0.15,0,0
1753548281.653668,90,24,45,5,4,55,0,0,0,0,5.305787502559676,3.8835665998195057,0.48,0.36,0.2,0,0
1753548281.6542363,54,11,12,4,8,64,2,2,1,1,4.422983157460807,4.826693839632224,0.46,0.27,0.07,4,1
1753548281.6542363,99,50,15,4,7,81,0,0,0,0,4.082329797000922,3.607930695986494,0.5,0.1,0.1,0,0
1753548281.6542363,23,41,41,0,3,41,0,0,0,0,4.894566171279591,4.130794327654891,0.41,0.2,0.19,0,0
1753548281.6542363,65,37,43,2,5,90,3,1,3,2,3.7497387959140673,3.976675804861464,0.73,0.17,0.2,5,1
1753548281.6542363,85,49,37,0,3,22,0,0,0,0,4.6047259495325825,3.849832495363198,0.48,0.16,0.18,0,0
1753548281.6542363,30,48,7,4,5,54,0,0,0,0,4.9089108270612805,4.967662674066867,0.34,0.21,0.09,0,0
1753548281.6542363,29,19,19,5,4,222,6,5,3,0,4.763904454859784,4.9184787940923425,0.68,0.14,0.1,3,1
1753548281.6542363,87,49,23,1,3,19,0,0,0,0,5.684434866768642,5.986038389120347,0.38,0.23,0.05,0,0
1753548281.6542363,65,16,8,2,3,92,0,0,0,0,4.441761949356658,5.82325625887227,0.76,0.33,0.18,0,0
1753548281.6542363,65,30,11,2,7,157,7,5,1,1,3.7029534712302135,4.488079444622283,0.57,0.1,0.07,2,1
1753548281.6542363,61,8,9,3,4,100,0,0,0,0,4.722432256949144,4.572756402581786,0.61,0.23,0.19,0,0
1753548281.6542363,63,50,47,1,8,23,0,0,0,0,5.906746429808051,3.804209099123359,0.43,0.25,0.2,0,0
1753548281.6542363,63,40,40,1,3,207,2,3,3,0,3.356848018993832,4.103299400726213,0.79,0.15,0.18,2,1
1753548281.661325,87,29,11,3,9,29,0,0,0,0,5.375439002131698,5.30415917756501,0.63,0.3,0.15,0,0
1753548281.6617293,82,33,5,3,9,75,0,0,0,0,4.243084298913426,3.4051565127708527,0.42,0.36,0.1,0,0
1753548281.662401,74,32,24,1,7,401,7,1,1,1,5.055219296003083,4.665845202620059,0.71,0.33,0.2,2,1
1753548281.662401,47,40,41,5,10,45,0,0,0,0,3.4933544087524537,4.019137744431518,0.72,0.27,0.17,0,0
1753548281.6636827,79,30,47,3,9,30,0,0,0,0,4.503340107152017,4.0880096069535465,0.4,0.27,0.19,0,0
1753548281.6636827,38,47,32,2,7,338,2,2,1,0,4.248710162507535,5.986188868618244,0.61,0.31,0.1,3,1
1753548281.665757,87,13,20,5,7,84,0,0,0,0,4.314448077208013,5.445026671296148,0.66,0.22,0.11,0,0
1753548281.665757,29,11,36,0,7,4,0,0,0,0,3.8292343620562184,4.79407853401522,0.3,0.22,0.12,0,0
1753548281.6682458,48,41,38,0,9,299,5,4,3,1,5.523148230505161,3.790505271036326,0.54,0.26,0.07,1,1
1753548281.6682458,66,7,32,0,9,9,0,0,0,0,3.3306912987099193,4.968650511894767,0.33,0.29,0.12,0,0
1753548281.6721582,58,8,31,3,5,73,0,0,0,0,5.732280067687557,4.022376556108101,0.35,0.12,0.12,0,0
1753548281.6721582,60,42,42,4,6,339,2,1,2,0,5.409487652421117,4.203261261984914,0.35,0.28,0.18,2,1
1753548281.6721582,47,13,33,2,8,70,0,0,0,0,5.789510802607598,4.22946273225967,0.43,0.22,0.19,0,0
1753548281.6733272,60,31,17,0,9,51,0,0,0,0,3.1435729370980248,5.827825159756191,0.42,0.36,0.06,0,0
1753548281.6740284,58,16,8,1,9,244,4,1,1,1,5.61465972243284,5.820936064233878,0.73,0.19,0.12,2,1
1753548281.6740284,48,44,50,3,5,21,0,0,0,0,3.6312380237822284,4.423321488388895,0.7,0.19,0.12,0,0
1753548281.6750534,76,7,30,5,3,7,0,0,0,0,3.2259551828796647,4.011226929462666,0.79,0.37,0.17,0,0
1753548281.6750534,92,11,30,0,4,338,3,2,1,0,5.045594606073609,4.880933360439943,0.66,0.18,0.19,1,1
1753548281.677621,40,19,41,1,3,41,0,0,0,0,3.0600062303755218,5.851272916677295,0.42,0.29,0.14,0,0
1753548281.6795151,31,8,37,3,8,69,0,0,0,0,5.542173880089626,5.867328244099346,0.67,0.2,0.13,0,0
1753548281.6795151,82,19,0,1,6,192,3,5,1,0,3.042157975759908,5.732057935448947,0.39,0.16,0.13,5,1
1753548281.6795151,45,39,48,2,5,25,0,0,0,0,4.220093715204257,3.3357786732327046,0.56,0.28,0.13,0,0
1753548281.6795151,93,46,15,0,6,57,0,0,0,0,5.924036663626099,4.514586220855488,0.39,0.16,0.08,0,0
1753548281.6795151,30,12,23,4,4,353,6,1,0,2,4.356015425916377,3.944074856717338,0.3,0.19,0.16,3,1
1753548281.68133,46,36,46,0,8,29,0,0,0,0,4.40457496059261,3.6251917955529223,0.53,0.33,0.15,0,0
1753548281.68133,77,35,35,2,6,42,0,0,0,0,5.468035537965241,4.895292052508717,0.38,0.17,0.07,0,0
1753548281.68133,81,38,24,2,8,305,2,2,1,1,5.313840991585681,5.44282278301571,0.7,0.29,0.12,3,1
1753548281.6825345,55,39,5,5,3,41,0,0,0,0,4.409179245973747,3.256606321441516,0.75,0.14,0.06,0,0
1753548281.6825345,68,37,10,4,4,32,0,0,0,0,4.272546200339676,4.799744910805035,0.34,0.11,0.15,0,0
1753548281.6825345,89,26,37,1,10,495,7,3,0,2,4.126805992538534,3.746676176299878,0.74,0.15,0.19,2,1
1753548281.6825345,98,38,27,4,3,61,0,0,0,0,5.984394317507493,5.440460396356727,0.41,0.15,0.14,0,0
1753548281.684734,67,29,40,5,8,44,0,0,0,0,3.0617409223364955,3.6585426714693936,0.58,0.15,0.14,0,0
1753548281.684734,42,37,18,3,3,67,5,3,2,0,4.5405288932957,3.9629514744154077,0.59,0.12,0.13,4,1
1753548281.6857436,71,25,40,0,5,58,0,0,0,0,3.181520038656991,3.148952324973663,0.7,0.12,0.06,0,0
1753548281.6857436,52,31,28,0,9,28,0,0,0,0,3.0801903908901735,3.990674480698796,0.38,0.3,0.2,0,0
1753548281.6868849,31,50,21,1,10,391,5,1,1,0,3.8478541489981724,3.119779991042386,0.75,0.19,0.09,1,1
1753548281.6868849,45,40,7,3,6,37,0,0,0,0,5.6848062451001855,4.176976077386499,0.7,0.16,0.15,0,0
1753548281.6879094,71,50,17,3,10,74,0,0,0,0,5.494204957396437,5.333207257571835,0.41,0.34,0.18,0,0
1753548281.6889231,39,28,40,3,6,173,3,2,2,0,5.092854995984856,4.2156473853298015,0.67,0.36,0.09,3,1
1753548281.6896036,57,29,5,1,10,62,0,0,0,0,3.986930990824942,3.7742984248574305,0.44,0.22,0.15,0,0
1753548281.6901438,76,42,28,5,10,21,0,0,0,0,4.707906936794744,4.880739216619942,0.68,0.22,0.07,0,0
1753548281.6901438,84,31,46,0,7,53,6,5,0,0,3.652566386086022,4.495161497599959,0.59,0.32,0.1,1,1
1753548281.6911626,63,43,18,4,6,99,0,0,0,0,4.6506371552041195,3.6392635397731063,0.63,0.37,0.08,0,0
1753548281.6911626,57,8,6,4,3,71,0,0,0,0,3.3850674142958823,5.5326732669408365,0.61,0.34,0.2,0,0
1753548281.6911626,49,7,7,5,9,461,6,5,3,0,5.750483003319574,3.340640697652349,0.77,0.35,0.16,2,1
1753548281.6911626,62,12,29,2,9,8,0,0,0,0,4.048906623814839,5.5772868218491,0.54,0.32,0.07,0,0
1753548281.6939943,45,38,10,0,4,44,0,0,0,0,5.153963558004029,5.613839421186709,0.36,0.25,0.17,0,0
1753548281.6939943,75,33,50,4,5,497,5,3,2,1,5.36705785342597,5.049471048257587,0.52,0.39,0.06,4,1
1753548281.6939943,89,47,41,4,7,44,0,0,0,0,3.7633278568147093,5.851687943200501,0.41,0.29,0.06,0,0
1753548281.6939943,24,27,34,2,5,56,0,0,0,0,3.559620130342543,4.825051132954022,0.44,0.23,0.09,0,0
1753548281.6939943,20,16,31,3,7,233,6,2,3,2,5.877795969554739,4.960985739171938,0.78,0.38,0.12,1,1
1753548281.6939943,95,14,5,2,6,20,0,0,0,0,4.507449847935269,3.5037634441404717,0.4,0.34,0.08,0,0
1753548281.6939943,63,16,42,2,6,9,0,0,0,0,3.0545031178055826,5.350880418003553,0.64,0.26,0.15,0,0
1753548281.6939943,41,17,19,3,6,396,7,2,2,2,4.386821835365181,5.732970595051139,0.34,0.18,0.14,1,1
1753548281.6939943,58,35,30,1,5,25,0,0,0,0,5.080739930839286,4.8661712568707856,0.41,0.38,0.06,0,0
1753548281.6939943,27,38,18,2,8,8,0,0,0,0,3.353742557409722,5.906628608006496,0.5,0.33,0.16,0,0
1753548281.6939943,54,9,5,0,4,412,5,2,0,2,3.7849161334819597,4.7180950637589945,0.68,0.11,0.12,2,1
1753548281.7021387,47,12,17,2,6,98,0,0,0,0,4.848739163323778,3.2423429535844415,0.66,0.19,0.12,0,0
1753548281.7021387,46,45,22,2,4,17,0,0,0,0,5.354878398540995,5.5751561043359565,0.31,0.29,0.11,0,0
1753548281.7021387,45,13,13,2,3,348,5,1,1,0,3.6559808007627934,3.023051889067191,0.62,0.13,0.15,1,1
1753548281.7021387,60,39,39,4,6,15,0,0,0,0,4.111799312578649,3.3863862446121216,0.5,0.11,0.15,0,0
1753548281.7021387,75,28,39,2,8,97,0,0,0,0,3.955558524176488,3.6416570808395816,0.33,0.24,0.05,0,0
1753548281.7055712,72,9,22,4,10,278,6,1,2,2,5.192375754819031,3.53380485828669,0.54,0.35,0.19,5,1
1753548281.7055712,88,23,49,0,6,59,0,0,0,0,4.894391263465065,4.115287272711161,0.41,0.21,0.13,0,0
1753548281.7055712,90,48,33,4,9,65,0,0,0,0,4.714926651422288,4.79054764756141,0.75,0.11,0.18,0,0
1753548281.7055712,36,7,40,5,7,59,3,4,0,2,5.760095931665713,4.665782706251489,0.56,0.35,0.14,5,1
1753548281.7055712,61,44,38,5,3,88,0,0,0,0,5.516757072053377,4.000961934704851,0.71,0.14,0.1,0,0
1753548281.7055712,20,35,38,2,6,20,0,0,0,0,4.12510698143678,3.484977027042434,0.78,0.11,0.06,0,0
1753548281.7055712,81,50,12,2,5,471,4,3,3,1,4.369097528854562,4.095353105026896,0.7,0.2,0.17,1,1
1753548281.7055712,84,15,41,0,4,44,0,0,0,0,3.817662675961729,5.933065290400544,0.67,0.4,0.1,0,0
1753548281.7101831,89,43,1,2,8,26,0,0,0,0,3.8737068325257242,4.813206453152321,0.78,0.22,0.06,0,0
1753548281.710604,89,13,43,3,10,449,3,4,0,2,5.176197178106678,3.712484619724038,0.63,0.16,0.08,2,1
1753548281.710604,63,7,7,3,8,37,0,0,0,0,3.642560603867215,4.022053635848422,0.48,0.22,0.13,0,0
1753548281.7116868,28,35,12,0,10,7,0,0,0,0,5.860560965637153,4.910672241994873,0.73,0.25,0.05,0,0
1753548281.7116868,98,48,2,0,6,496,6,5,1,2,5.9415775063835135,3.0632776962763435,0.72,0.31,0.07,5,1
1753548281.7116868,44,24,14,1,3,99,0,0,0,0,4.147423582406301,4.295364836861292,0.36,0.25,0.12,0,0
1753548281.7116868,26,16,27,3,8,26,0,0,0,0,3.6187629594171677,4.99177233987351,0.58,0.36,0.12,0,0
1753548281.7116868,55,46,47,5,5,48,3,1,1,0,4.279500385673234,4.932889389419596,0.4,0.35,0.14,4,1
1753548281.7116868,38,50,6,5,5,71,0,0,0,0,5.49230170908346,4.358699734730709,0.47,0.2,0.1,0,0
1753548281.7116868,94,7,9,5,5,57,0,0,0,0,5.654574861675568,3.6797030174799934,0.7,0.29,0.07,0,0
1753548281.7116868,74,7,17,3,5,116,2,4,0,0,3.216392050910829,4.70423214611434,0.6,0.32,0.14,3,1
1753548281.7116868,31,48,26,0,8,10,0,0,0,0,4.1860306521827795,3.682824823830945,0.7,0.23,0.06,0,0
1753548281.7182724,51,30,37,2,7,77,0,0,0,0,4.457088232868156,3.514827904011937,0.7,0.32,0.17,0,0
1753548281.7182724,28,20,46,2,3,311,7,4,2,2,5.472369771267198,3.6008804735396347,0.42,0.37,0.05,1,1
1753548281.7182724,41,48,28,4,4,30,0,0,0,0,4.010961476720152,5.434673895074408,0.54,0.35,0.16,0,0
1753548281.7204177,36,8,9,3,10,17,0,0,0,0,3.8035970973588866,3.5118116137370285,0.77,0.35,0.1,0,0
1753548281.7210665,72,42,24,4,3,87,6,2,2,2,4.413634176757158,4.829345116007554,0.58,0.31,0.17,1,1
1753548281.7223518,29,32,31,1,10,9,0,0,0,0,4.633127017428402,5.919805876215827,0.53,0.24,0.09,0,0
1753548281.72287,70,44,47,5,8,96,0,0,0,0,4.136526064379957,5.88590273451142,0.62,0.14,0.18,0,0
1753548281.7241664,44,45,47,0,10,187,2,4,0,0,5.071366786157383,5.9227723682175215,0.67,0.16,0.18,5,1
1753548281.7241664,36,18,19,0,6,60,0,0,0,0,3.0657357539958716,4.971892833002968,0.71,0.19,0.1,0,0
1753548281.7241664,49,47,28,2,8,47,0,0,0,0,5.170661730423758,5.753832071128732,0.47,0.3,0.08,0,0
1753548281.7266326,39,46,34,3,10,44,5,5,1,2,5.748441040190855,4.4259477758416725,0.47,0.35,0.17,5,1
1753548281.727069,24,30,47,5,4,3,0,0,0,0,5.730706105323941,4.036486876435999,0.56,0.39,0.15,0,0
1753548281.727069,81,6,25,1,8,68,0,0,0,0,4.417270976183262,3.9061553373008238,0.66,0.11,0.1,0,0
1753548281.728291,77,45,5,0,9,335,3,1,3,2,4.179094330930051,5.996450260839438,0.62,0.2,0.1,4,1
1753548281.728291,90,47,37,3,10,11,0,0,0,0,4.033089105418762,5.777900567468111,0.62,0.32,0.08,0,0
1753548281.728291,51,10,14,0,6,88,0,0,0,0,3.565293089684827,5.107489310685839,0.47,0.19,0.19,0,0
1753548281.728291,98,37,25,3,3,223,5,1,2,2,3.488152712466528,5.743899261339145,0.6,0.38,0.18,5,1
1753548281.728291,33,27,40,1,7,70,0,0,0,0,5.566529133106573,5.519129491761606,0.69,0.31,0.13,0,0
1753548281.728291,99,41,24,1,9,20,0,0,0,0,5.9680265377916655,4.184565428748382,0.7,0.4,0.05,0,0
1753548281.731162,98,19,21,1,5,274,7,2,0,0,5.7180774597748085,3.7589080719520993,0.64,0.28,0.16,4,1
1753548281.731162,86,31,26,0,5,20,0,0,0,0,3.3772387347646307,4.645703177447549,0.4,0.11,0.1,0,0
1753548281.731162,70,47,38,1,4,32,0,0,0,0,3.6746604028733625,4.056532282930508,0.79,0.31,0.17,0,0
1753548281.731162,21,10,14,4,4,384,4,1,3,2,5.772016559319593,3.3983617529807146,0.5,0.4,0.11,5,1
1753548281.731162,68,9,5,4,3,56,0,0,0,0,5.06203439749933,3.5330764590364163,0.59,0.4,0.16,0,0
1753548281.731162,96,19,11,4,10,8,0,0,0,0,4.686937370831555,5.150713899487218,0.72,0.18,0.07,0,0
1753548281.731162,39,40,9,0,3,489,7,3,2,2,5.858600598881784,4.9585864051776305,0.71,0.14,0.17,1,1
1753548281.731162,93,49,11,3,7,13,0,0,0,0,4.651994860641064,5.087076040151116,0.78,0.12,0.07,0,0
1753548281.7349305,32,27,50,5,4,73,0,0,0,0,3.3829938556872,3.251057428539622,0.65,0.34,0.06,0,0
1753548281.7349305,49,20,6,5,6,114,4,5,2,0,4.670398967373654,5.6100622749719005,0.35,0.24,0.08,2,1
1753548281.7369401,22,29,33,1,9,88,0,0,0,0,5.927126196131244,4.104906823238672,0.56,0.18,0.11,0,0
1753548281.737665,36,32,41,4,6,93,0,0,0,0,4.470611858061922,5.742727751654296,0.36,0.36,0.19,0,0
1753548281.7383158,99,49,49,4,4,325,4,1,2,0,4.893661935402046,5.80185799201751,0.61,0.31,0.05,3,1
1753548281.7383158,90,26,33,2,6,80,0,0,0,0,3.8678766154924196,5.581116240933991,0.72,0.17,0.17,0,0
1753548281.7393937,50,39,32,0,7,1,0,0,0,0,5.592184551027806,3.962404532589951,0.36,0.21,0.07,0,0
1753548281.7400382,47,26,2,2,4,273,2,4,1,0,3.124158334312148,4.039782547340056,0.39,0.38,0.17,1,1
1753548281.7400382,36,37,16,3,5,1,0,0,0,0,4.968766337636796,5.125142866735937,0.75,0.36,0.08,0,0
1753548281.7407057,88,43,27,5,5,12,0,0,0,0,4.86483153868918,4.871567344466195,0.73,0.21,0.13,0,0
1753548281.7415936,80,48,3,0,9,232,2,5,1,1,3.293026739972319,5.912017439001183,0.5,0.34,0.19,4,1
1753548281.7415936,62,5,29,0,4,35,0,0,0,0,5.454295126405694,3.939400433371443,0.51,0.39,0.2,0,0
1753548281.7423277,78,34,2,5,4,63,0,0,0,0,4.222318362171686,3.897201899286179,0.44,0.13,0.12,0,0
1753548281.7423277,27,6,12,4,7,291,2,5,0,2,3.0316154362188175,3.307452632882626,0.46,0.28,0.06,5,1
1753548281.7433386,73,29,29,1,4,20,0,0,0,0,3.0353289052987,3.550137788009229,0.59,0.17,0.14,0,0
1753548281.7438698,39,37,3,3,10,1,0,0,0,0,3.9868606305000727,3.5188627540716486,0.51,0.18,0.08,0,0
1753548281.744378,21,12,32,5,3,304,6,2,2,2,3.7813858688841107,3.8525481423240633,0.52,0.13,0.06,4,1
1753548281.744378,21,38,0,4,8,35,0,0,0,0,3.744754706512722,3.644698735761179,0.77,0.34,0.08,0,0
1753548281.7455685,44,41,22,4,6,7,0,0,0,0,4.466333120974552,3.8858811597943155,0.7,0.1,0.13,0,0
1753548281.7455685,81,43,42,5,7,173,2,1,0,0,4.038351935440015,5.002476690638174,0.44,0.15,0.14,3,1
1753548281.7455685,63,41,21,4,6,52,0,0,0,0,5.288598444488811,4.170172400296279,0.42,0.16,0.07,0,0
1753548281.7466245,56,24,1,2,9,9,0,0,0,0,3.5812575754498335,5.44641949362329,0.54,0.35,0.1,0,0
1753548281.7466245,68,5,32,1,9,224,7,2,3,2,3.8740312606327816,5.901741908528864,0.76,0.26,0.1,4,1
1753548281.7479239,36,34,48,3,4,98,0,0,0,0,4.539272160440292,5.6943005246747305,0.53,0.34,0.17,0,0
1753548281.7479239,59,27,19,2,6,23,0,0,0,0,3.489622488744411,4.985843299823435,0.51,0.3,0.12,0,0
1753548281.7479239,80,30,33,0,6,161,5,2,1,2,5.563724600004084,5.6611925637614595,0.36,0.31,0.05,1,1
1753548281.7479239,66,42,49,5,5,56,0,0,0,0,3.3161803756040378,3.9404890968406603,0.64,0.2,0.11,0,0
1753548281.7479239,44,33,5,2,10,35,0,0,0,0,4.442537328258494,4.0731132155128975,0.61,0.19,0.16,0,0
1753548281.750139,53,16,1,5,8,29,3,2,2,2,4.0206659327356515,4.876253814762741,0.77,0.31,0.09,5,1
1753548281.7506163,22,5,27,3,3,94,0,0,0,0,5.041692325299301,5.508278692683193,0.69,0.26,0.07,0,0
1753548281.7506163,70,34,16,1,10,95,0,0,0,0,3.998387084070454,5.65633405368571,0.44,0.21,0.07,0,0
1753548281.7518866,36,6,11,1,3,182,3,1,1,1,4.438866988173589,5.0904345752061415,0.75,0.38,0.2,5,1
1753548281.7518866,37,30,35,1,5,69,0,0,0,0,3.444666080050829,3.438481435017517,0.51,0.25,0.18,0,0
1753548281.7518866,90,18,41,0,3,50,0,0,0,0,3.745821657427678,4.053333753521285,0.37,0.36,0.18,0,0
1753548281.7538,40,32,20,1,5,361,4,4,1,2,4.926496921914717,5.281188850362231,0.54,0.34,0.14,5,1
1753548281.7538,38,26,14,1,5,93,0,0,0,0,5.096974178748788,5.227112432803696,0.33,0.14,0.12,0,0
1753548281.7538,90,18,12,4,3,89,0,0,0,0,5.368226465636158,3.979513902504168,0.4,0.27,0.18,0,0
1753548281.7558134,65,29,17,0,3,111,5,2,1,2,3.000577424867042,3.582624590226297,0.65,0.17,0.19,4,1
1753548281.7558134,46,35,1,2,10,15,0,0,0,0,5.360318837409887,5.5175315975617325,0.51,0.13,0.09,0,0
1753548281.7568238,90,36,44,4,3,48,0,0,0,0,5.094351535384328,5.966883317577845,0.55,0.24,0.17,0,0
1753548281.757553,86,29,48,4,8,256,6,3,0,2,5.7469779795291185,5.126740305928225,0.77,0.28,0.12,1,1
1753548281.757553,73,45,0,2,8,35,0,0,0,0,4.314375181243422,3.657979414649397,0.8,0.35,0.15,0,0
1753548281.757553,58,7,19,3,9,25,0,0,0,0,4.524034071700079,4.060493912994192,0.73,0.4,0.13,0,0
1753548281.7600386,75,31,5,5,4,394,3,5,0,1,4.53986957631721,4.58955170857144,0.71,0.19,0.09,1,1
1753548281.7600386,47,21,50,3,9,47,0,0,0,0,3.0734592509851506,4.911874065985263,0.65,0.27,0.07,0,0
1753548281.7600386,47,48,30,0,4,8,0,0,0,0,5.872167479453397,4.07456595685312,0.7,0.36,0.08,0,0
1753548281.7618053,60,36,37,1,10,490,7,2,0,2,5.566031759044419,3.502511053735674,0.71,0.19,0.16,5,1
1753548281.7624302,69,21,4,4,7,47,0,0,0,0,3.612015952795162,4.048661342065788,0.65,0.18,0.19,0,0
1753548281.7624302,41,28,44,2,10,37,0,0,0,0,4.548657579217847,4.83492160598,0.35,0.18,0.19,0,0
1753548281.7624302,69,18,42,3,3,251,2,3,3,0,4.1603916376407,4.418184237370975,0.55,0.38,0.17,2,1
1753548281.7644396,75,27,50,0,9,58,0,0,0,0,5.166528695086937,5.0416161633421535,0.48,0.14,0.07,0,0
1753548281.7644396,51,8,24,5,6,59,0,0,0,0,4.611746204692485,3.6213084065092405,0.37,0.36,0.13,0,0
1753548281.7644396,85,46,8,5,9,472,2,1,3,1,4.141477393151856,4.1234777931241835,0.57,0.17,0.06,3,1
1753548281.766454,98,38,46,2,5,91,0,0,0,0,4.976021225575662,4.792853658219508,0.33,0.34,0.07,0,0
1753548281.766454,50,11,3,5,10,86,0,0,0,0,3.0275171368764293,3.90186120152615,0.36,0.36,0.12,0,0
1753548281.766454,38,45,26,1,5,388,2,3,2,0,5.916753578344565,3.3243678912092047,0.67,0.27,0.1,5,1
1753548281.7682042,91,37,1,5,3,68,0,0,0,0,3.810307196941936,5.277369843021063,0.41,0.34,0.16,0,0
1753548281.769182,76,37,37,3,8,42,0,0,0,0,4.895969388257147,3.8797219087470385,0.68,0.3,0.13,0,0
1753548281.769182,35,15,13,1,8,277,7,4,2,1,5.816977053100973,3.417470823230981,0.61,0.26,0.19,3,1
1753548281.769182,100,26,19,2,8,96,0,0,0,0,4.766515759084381,3.6889812280245935,0.49,0.35,0.06,0,0
1753548281.769182,59,35,37,5,4,37,0,0,0,0,5.522588170376654,3.110089720975118,0.59,0.13,0.15,0,0
1753548281.769182,61,49,44,3,5,478,6,1,2,1,5.7498064650774845,5.056748518381037,0.54,0.22,0.11,2,1
1753548281.769182,59,35,14,5,7,31,0,0,0,0,4.981996099196518,3.0536456623342807,0.39,0.31,0.19,0,0
1753548281.772483,61,46,39,4,8,7,0,0,0,0,5.286411597119397,4.569387416199546,0.66,0.39,0.12,0,0
1753548281.772483,85,44,34,1,3,366,7,5,2,2,3.5601708899310274,3.6333847155258363,0.55,0.26,0.15,4,1
1753548281.772483,53,29,20,2,8,15,0,0,0,0,3.0802721651189646,3.054569271785616,0.54,0.28,0.12,0,0
1753548281.7753143,40,50,22,3,3,41,0,0,0,0,4.201893698265698,5.013381715056352,0.61,0.17,0.12,0,0
1753548281.7763245,100,21,15,2,7,431,7,1,2,0,5.829099564100878,3.618738153138866,0.49,0.12,0.06,3,1
1753548281.7763245,58,10,28,0,9,73,0,0,0,0,5.682853714461526,3.7209841021685524,0.39,0.17,0.09,0,0
1753548281.7763245,69,20,39,1,8,90,0,0,0,0,4.1137103772796895,3.111592063453929,0.6,0.37,0.12,0,0
1753548281.7783363,53,35,14,2,3,27,7,2,1,2,5.5756646516692845,5.551699816635096,0.69,0.23,0.15,1,1
1753548281.7783363,67,40,31,1,7,99,0,0,0,0,4.521042083507803,5.425762394340417,0.78,0.27,0.12,0,0
1753548281.7783363,96,33,7,1,9,2,0,0,0,0,4.266432523614612,5.202191728038361,0.66,0.18,0.14,0,0
